Part or Item Number,Item Category,Item Name,Current Stock,On Order,Max Capacity,Price Per Unit,Cost Per Unit,Price to Cost Ratio,Sold Price,Sizes,Description,In Store + On Order,Stock Status,Overstocked,Cost of Current Order,Total Cost in Stock,Total Stocked Item Cost
16,Block Print Cord Set,White BPCS,1,0,1,dh170.00,dh48.00,3.5,,M,,1,In Stock, ,dh0.00,dh48.00,dh170.00
17,Block Print Cord Set,White BPCS,1,0,1,dh170.00,dh48.00,3.5,,L,,1,In Stock, ,dh0.00,dh48.00,dh170.00
18,Block Print Cord Set,White BPCS,1,0,1,dh170.00,dh48.00,3.5,,XL,,1,In Stock, ,dh0.00,dh48.00,dh170.00
19,Block Print Cord Set,White BPCS,1,0,1,dh170.00,dh48.00,3.5,,XXL,,1,In Stock, ,dh0.00,dh48.00,dh170.00
20,Floral Print Cord Set,Black FPCS,1,0,1,dh120.00,dh36.00,3.3,,M,,1,In Stock, ,dh0.00,dh36.00,dh120.00
21,Floral Print Cord Set,Black FPCS,1,0,1,dh120.00,dh36.00,3.3,,L,,1,In Stock, ,dh0.00,dh36.00,dh120.00
22,Floral Print Cord Set,Black FPCS,1,0,1,dh120.00,dh36.00,3.3,80,XL,,1,Sold, ,dh0.00,dh36.00,dh120.00
23,Floral Print Cord Set,Black FPCS,1,0,1,dh120.00,dh36.00,3.3,85,XXL,,1,In Stock, ,dh0.00,dh36.00,dh120.00
24,Traditional Print Cord Set,Brown TPCS,1,0,1,dh220.00,dh63.00,3.5,,S,,1,In Stock, ,dh0.00,dh63.00,dh220.00
25,Traditional Print Cord Set,Brown TPCS,1,0,1,dh220.00,dh63.00,3.5,,M,,1,In Stock, ,dh0.00,dh63.00,dh220.00
26,Traditional Print Cord Set,Brown TPCS,1,0,1,dh220.00,dh63.00,3.5,,L,,1,In Stock, ,dh0.00,dh63.00,dh220.00
27,Traditional Print Cord Set,Brown TPCS,1,0,1,dh220.00,dh63.00,3.5,,XL,,1,In Stock, ,dh0.00,dh63.00,dh220.00
28,Traditional Print Cord Set,Brown TPCS,1,0,1,dh220.00,dh63.00,3.5,80,XXL,,1,Sold, ,dh0.00,dh63.00,dh220.00
29,Silk Plazzo Set,Green SPS,1,0,1,dh250.00,dh80.00,3.1,,M,,1,In Stock, ,dh0.00,dh80.00,dh250.00
30,Silk Plazzo Set,Green SPS,1,0,1,dh250.00,dh80.00,3.1,,XL,,1,In Stock, ,dh0.00,dh80.00,dh250.00
